File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,MgO,Al2O3,SiO2,P2O5,S,Cl,K2O,CaO,TiO2,V,Cr,MnO,Fe2O3,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,La,Ce,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Cal Check,Ti,Mn,Fe,Sc,Br,I
12,01-01-2006 12:35,051225,230,AMD_01,230,GeoChem,DualMining,"60,0","2,4608","0,0","2,4858","0,0","2,4668","0,0",0,"3,2938","4,7654","18,8330","0,0907","0,4279",0,0,"17,3772","0,3143","0,0291",0,"1,1102","15,8417",0,"0,0050",0,0,"0,0071",0,0,"0,0123","0,0030",0,0,"0,0028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,0,0,0,0,0,0
13,01-01-2006 12:38,051225,231,AMD_01,231,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"2,8802","62,4569",0,"1,0295",0,"0,1949","5,5077","0,1928","0,0087",0,"0,3688","3,3290",0,0,"1,2248","0,0753","0,0700",0,"0,0019","0,0037",0,"0,0018",0,"0,0017",0,0,0,"0,0070","0,0030",0,0,"0,4841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,0,0,0,0,0,0
14,01-01-2006 12:40,051225,232,AMD_01,232,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"3,8830","64,7450",0,"0,8118","0,0231","0,2136","3,6650","0,3023","0,0055",0,"0,4329","4,0860",0,0,"1,1013","0,0782","0,0751",0,"0,0017","0,0027",0,"0,0015",0,0,0,0,0,"0,0056","0,0030",0,0,"0,4015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,0,0,0,0,0,0
15,01-01-2006 12:43,051225,233,AMD_01,233,GeoChem,DualMining,"60,0","1,439","0,0","1,4767","0,0","1,4542","0,0",0,0,"7,7630","30,9031",0,"1,9526",0,"0,5514","1,4353","0,3765","0,0120",0,"0,0229","23,3897",0,0,"4,8999","0,0599","0,2214",0,"0,0064","0,0027","0,0016","0,0043",0,"0,0028",0,0,0,"0,0075",0,0,0,"0,1779",0,0,0,0,0,0,0,0,0,0,0,0,"0,0150",0,"0,0081","0,0069",0,0,Passed,0,0,0,0,0,0
16,01-01-2006 12:45,051225,234,AMD_01,234,GeoChem,DualMining,"60,0","1,439","0,0","1,4361","0,0","1,4767","0,0",0,0,"4,0762","23,2233","0,7867","1,8614",0,0,"3,4036","0,3807","0,0169",0,"0,6836","39,8504",0,"0,0076","0,5562","0,0511","0,0058","0,0024","0,0049","0,0060","0,0013","0,0062",0,"0,0105",0,0,0,0,0,0,0,"0,0189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0069","0,0090",0,0,Passed,0,0,0,0,0,0
17,01-01-2006 12:50,051225,235,AMD_01,235,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"6,7413","46,7523","0,2738","0,1189",0,"0,0243","4,2240","1,1658","0,0170",0,"0,1102","15,6668",0,0,"0,1532","0,0094","0,0077",0,0,"0,0138",0,"0,0072",0,"0,0031",0,0,0,0,0,0,0,"0,0169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,0,0,0,0,0,0
18,01-01-2006 12:54,051225,236,AMD_01,236,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"2,4691","13,2025","1,9243","0,3611","27,8151","0,5250","3,0642",0,0,0,"0,2159","7,8261","0,0148","0,0187","0,2045","0,0577","0,1154",0,"0,0189","0,1051","0,0022",0,0,"0,0045",0,0,0,"0,1078",0,0,"0,0461","0,0707",0,"3,5505",0,"0,2184",0,0,0,0,0,0,0,0,"0,0138",0,"0,0105",0,0,0,Passed,0,0,0,0,0,0
19,01-01-2006 13:01,051225,237,AMD_01,237,GeoChem,DualMining,"61,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,0,"3,5994","2,2455","0,7716","35,7162","0,0739","6,6469",0,0,0,"0,3645","3,6287",0,"0,0155","0,2297","0,0766","0,0924",0,"0,0042","0,1409","0,0016",0,0,0,0,0,0,"0,0728",0,0,"0,0657","0,0319",0,"9,6277",0,"0,6202",0,0,0,0,0,0,0,0,"0,0076",0,"0,0065",0,"0,0049",0,Passed,0,0,0,0,0,0
20,01-01-2006 13:04,051225,238,AMD_01,238,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"0,5761","6,9277","1,4993","2,3384","25,5003","0,1112","5,6665","0,1426",0,0,"1,2739","10,2689",0,"0,0246","0,2835","0,1072","0,0999",0,"0,0029","0,2369","0,0017",0,0,0,0,0,0,"0,0144","0,0061",0,"0,0449","0,0460",0,"9,8659",0,"0,7128",0,0,0,0,0,0,0,0,0,0,"0,0121",0,"0,0055","0,0061",Passed,0,0,0,0,0,0
21,01-01-2006 13:07,051225,239,AMD_01,239,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"1,1736","14,7719","1,7193","0,5657","26,2557","0,1106","3,5965",0,0,0,"0,1615","3,9110",0,"0,0035","3,2026","0,0164","0,0797",0,"0,0029","0,1411","0,0016",0,0,0,0,0,0,"0,0310",0,0,"0,0285","0,0907",0,"5,1738",0,"0,3156",0,0,0,0,0,0,0,0,"0,0302",0,"0,0060",0,0,0,Passed,0,0,0,0,0,0
